slug,tau,side,fair,ask,edge,outcome,shares,cost,fees,won,pnl
bitcoin-up-or-down-july-23-2026-5pm-et,2,up,0.98,0.68,0.2847679999999999,book_moved_no_edge,0.0,0.0,0.0,True,0.0
bitcoin-up-or-down-july-23-2026-5pm-et,1,up,0.98,0.69,0.275027,empty_book,0.0,0.0,0.0,True,0.0
bitcoin-up-or-down-july-24-2026-1am-et,6,up,0.892885592560029,0.62,0.25639359256002897,filled,10.0,3.6,0.16121000000000002,True,6.238790000000001
bitcoin-up-or-down-july-24-2026-1am-et,5,up,0.9131739227839577,0.39,0.5065209227839577,filled,10.07,4.2287,0.17163531000000004,True,5.66966469
bitcoin-up-or-down-july-24-2026-1am-et,4,up,0.9358900404627173,0.35,0.5699650404627173,filled,5.06,2.4782,0.08851122000000002,True,2.4932887799999994
bitcoin-up-or-down-july-24-2026-1am-et,3,up,0.9604966080758234,0.41,0.5335636080758234,filled,28.089887640449437,25.0,0.19249999999999998,True,2.8973876404494368
bitcoin-up-or-down-july-24-2026-1am-et,2,up,0.98,0.47,0.49256300000000003,empty_book,0.0,0.0,0.0,True,0.0
bitcoin-up-or-down-july-24-2026-1am-et,1,up,0.98,0.9,0.07369999999999996,empty_book,0.0,0.0,0.0,True,0.0
bitcoin-up-or-down-july-25-2026-5pm-et,6,up,0.98,0.92,0.054847999999999945,filled,3.32,3.0544,0.017104639999999994,True,0.24849536000000005
bitcoin-up-or-down-july-25-2026-5pm-et,5,up,0.98,0.92,0.054847999999999945,filled,3.32,3.0544,0.017104639999999994,True,0.24849536000000005
bitcoin-up-or-down-july-25-2026-5pm-et,4,up,0.98,0.92,0.054847999999999945,book_moved_no_edge,0.0,0.0,0.0,True,0.0
