date,wts,t_rel,side,px,shares,fair,pnl_share
2025-10-17,1760731200,-6,down,0.9,11.111112,0.9999999962145277,0.09370002
2025-10-22,1761105600,-6,up,0.94,0.66,0.999999992150934,0.056052003
2025-10-24,1761264000,-6,up,0.8,5.89,1.0,0.18879999
2025-10-25,1761350400,-6,up,0.5,1.9,1.0,0.4825
2025-11-05,1762376400,-6,down,0.44,16.0,1.0,0.542752
2025-11-06,1762462800,-6,up,0.86,11.627907,1.0,0.131572
2025-11-07,1762549200,-6,down,0.9,11.111112,1.0,0.09370002
2025-11-08,1762578000,-6,down,0.93,10.752688,1.0,0.065442994
2025-11-09,1762722000,-6,up,0.53,9.0,1.0,0.45256302
2025-11-10,1762808400,-6,up,0.52,15.0,0.9999999999999981,0.46252802
2025-11-11,1762894800,-6,up,0.74,13.513514,0.9999986420551283,0.246532
2025-11-12,1762981200,-6,up,0.65,15.384616,1.0,0.33407503
2025-11-14,1763154000,-6,up,0.66,15.151515,1.0,0.32429197
2025-11-15,1763240400,-6,up,0.83,12.048193,1.0,0.16012302
2025-11-16,1763326800,-6,up,0.63,15.873016,1.0,0.353683
2025-11-17,1763413200,-6,up,0.72,13.888888,0.99999999999978,0.26588798
2025-11-18,1763499600,-6,down,0.53999996,13.0,1.0,0.44261205
2025-11-20,1763672400,-6,up,0.7,14.285714,1.0,0.28530002
2025-11-21,1763758800,-6,up,0.81,12.345679,1.0,0.179227
2025-11-23,1763931600,-6,down,0.9,5.0,1.0,0.09370002
2025-11-25,1764104400,-6,up,0.53,10.0,1.0,0.45256302
2025-11-27,1764277200,-6,down,0.66999996,14.925374,1.0,0.31452304
2025-11-28,1764363600,-6,down,0.89,11.235955,1.0,0.103147015
2025-11-29,1764378000,-6,up,0.8,5.0,0.9455055985615616,0.18879999
2025-12-02,1764709200,-6,up,0.94,10.638298,1.0,0.056052003
2025-12-03,1764795600,-6,up,0.84,11.904762,0.9999999999999997,0.15059203
2025-12-05,1764910800,-6,up,0.89,11.235955,1.0,0.103147015
2025-12-05,1764968400,-6,up,0.5,20.0,1.0,0.4825
2025-12-06,1765054800,-6,down,0.87,11.494253,1.0,0.12208299
2025-12-08,1765227600,-6,down,0.68,14.705882,1.0,0.304768
2025-12-09,1765314000,-6,down,0.8,12.5,1.0,0.18879999
2025-12-10,1765400400,-6,down,0.65,12.11,1.0,0.33407503
2025-12-12,1765573200,-6,up,0.67,14.925373,1.0,0.31452298
2025-12-13,1765659600,-6,up,0.87,11.494253,1.0,0.12208299
2025-12-14,1765746000,-6,down,0.79,7.0,1.0,0.19838698
2025-12-17,1765976400,-2,down,0.87,10.0,0.9999468640393775,0.12208299
2025-12-17,1766005200,-6,up,0.85,11.764706,1.0,0.14107499
2025-12-19,1766178000,-6,down,0.36,27.777777,1.0,0.623872
2025-12-20,1766264400,-6,up,0.61,16.393442,1.0,0.37334698
2025-12-21,1766350800,-6,up,0.9,11.111112,1.0,0.09370002
2025-12-22,1766437200,-6,up,0.82,12.195122,1.0,0.169668
2025-12-23,1766523600,-6,down,0.81,12.345679,0.9994315952267726,0.179227
2025-12-24,1766610000,-6,up,0.75,13.333333,0.9690896754859992,0.236875
2025-12-25,1766653200,-6,down,0.90999997,10.989012,1.0,0.084267035
2025-12-26,1766739600,-6,down,0.65999997,5.0,1.0,0.32429203
2025-12-26,1766782800,-6,down,0.92,10.869565,1.0,0.07484798
2025-12-27,1766869200,-6,up,0.9,11.111112,1.0,0.09370002
2025-12-28,1766955600,-6,up,0.94,10.638298,1.0,0.056052003
2025-12-29,1767027600,-6,down,0.78,12.820514,1.0,0.20798802
2025-12-29,1767042000,-6,up,0.56,17.857143,1.0,0.422752
2025-12-30,1767114000,-6,down,0.59000003,12.0,1.0,0.39306697
2025-12-30,1767128400,-6,up,0.94,10.638298,1.0,0.056052003
2026-01-01,1767286800,-6,up,0.82,12.195122,1.0,0.169668
