date,wts,t_rel,side,px,shares,fair,pnl_share
2026-02-12,1770856500,-6,up,0.51,19.607843,0.9999822812405442,0.472507
2026-02-12,1770859200,-6,down,0.84000003,11.904761,0.990902653912346,0.15059197
2026-02-12,1770859800,-6,down,0.7,10.08,0.765284343898824,0.28530002
2026-02-12,1770864300,-2,up,0.52,19.23077,0.9395983773213192,0.46252802
2026-02-12,1770866400,-6,up,0.66,15.151515,0.8794057687247064,-0.67570806
2026-02-12,1770867600,-6,down,0.94,10.638298,0.9986323988634808,-0.943948
2026-02-12,1770867900,-6,down,0.35000002,6.0,0.9711888925189996,-0.365925
2026-02-12,1770868200,-6,up,0.85,11.764706,0.9999974140923397,0.14107499
2026-02-12,1770868800,-4,down,0.85,5.0,0.9999730630953023,0.14107499
2026-02-12,1770870600,-2,down,0.89,4.66,0.9963165375151083,0.103147015
2026-02-12,1770873900,-5,down,0.53,18.867926,0.6818032960732663,0.45256302
2026-02-12,1770876900,-5,up,0.46,21.73913,0.881130240583269,0.522612
2026-02-12,1770878400,-6,down,0.42000002,23.809523,0.5500093191360835,-0.437052
2026-02-12,1770882300,-5,up,0.34,29.411764,0.9982861464241297,0.644292
2026-02-12,1770882600,-6,down,0.8,12.5,0.9937905447724164,0.18879999
2026-02-12,1770883200,-6,down,0.93,2.04,0.9998709852731535,0.065442994
2026-02-12,1770884400,-4,up,0.6,5.0,0.944329429586993,0.3832
2026-02-12,1770885300,-6,up,0.39,25.641027,0.4629956632895556,0.593347
2026-02-12,1770885600,-3,down,0.35000002,16.0,0.7578238902149171,0.634075
2026-02-12,1770886800,-6,down,0.94,6.19,0.9997315104942317,0.056052003
2026-02-12,1770888300,-6,up,0.75,13.333333,0.9823048527880158,0.236875
2026-02-12,1770890400,-6,up,0.42,18.0,0.4996554303238759,-0.43705198
2026-02-12,1770892500,-6,down,0.58000004,10.0,0.8285545129713163,-0.59705204
2026-02-12,1770893400,-6,up,0.9,11.111112,0.9946071389714345,0.09370002
2026-02-12,1770896700,-6,up,0.49,8.89,0.6747975073826195,0.49250698
2026-02-12,1770897300,-3,up,0.64,15.625,0.9999999998630598,-0.656128
2026-02-12,1770897900,-6,up,0.64,15.625,0.915857228436054,-0.656128
2026-02-12,1770906000,-6,down,0.35000002,28.571426,0.6124487284588562,0.634075
2026-02-12,1770909900,-6,up,0.61,10.72,0.9188604068260955,0.37334698
2026-02-12,1770912900,-6,up,0.54,5.43,0.734513070550429,-0.557388
2026-02-12,1770915600,-6,up,0.7,14.285714,0.8947492440727028,0.28530002
2026-02-12,1770917700,-2,up,0.5,20.0,0.5963229648871905,-0.5175
2026-02-12,1770918000,-6,down,0.5,20.0,0.888042828591523,-0.5175
2026-02-12,1770921000,-5,down,0.48000002,5.0,0.5820655250188136,0.50252795
2026-02-12,1770922200,-5,down,0.42000002,4.76,0.5602926091524679,0.562948
2026-02-12,1770922800,-6,down,0.9,11.111112,0.9983579745327082,0.09370002
2026-02-12,1770925200,-6,up,0.48,7.0,0.9049608477479936,0.50252795
2026-02-12,1770928200,-5,up,0.33,29.54,0.44574414806259877,-0.345477
2026-02-12,1770929400,-6,up,0.87,11.494253,0.9875287315284417,0.12208299
2026-02-12,1770929700,-6,down,0.89,11.235955,0.9985968456847752,0.103147015
2026-02-12,1770935400,-6,up,0.65,15.384616,0.8550640120406893,-0.66592497
2026-02-12,1770935700,-4,down,0.39999998,12.0,0.47566414980664906,-0.41679996
2026-02-12,1770938100,-6,down,0.93,10.752688,0.9965274252328212,-0.934557
2026-02-12,1770939000,-6,down,0.55,11.0,0.7522067395506561,0.432675
2026-02-12,1770939600,-3,up,0.44,22.727272,0.8573610252291364,0.542752
2026-02-12,1770940200,-6,down,0.73,3.63,0.9815671598594973,-0.743797
2026-02-13,1770942000,-6,down,0.87,11.494253,0.9994616162043025,0.12208299
2026-02-13,1770943500,-6,down,0.55,5.0,0.9958689433590631,-0.567325
2026-02-13,1770947400,-6,down,0.93,10.752688,1.0,0.065442994
2026-02-13,1770948000,-6,down,0.8,12.5,0.9999999999999922,-0.8112
2026-02-13,1770948600,-3,up,0.89,11.235955,0.9716978305371884,0.103147015
2026-02-13,1770952200,-3,down,0.83,6.0,0.9999989653725628,0.16012302
2026-02-13,1770954600,-5,down,0.39999998,25.000002,1.0,-0.41679996
2026-02-13,1770955500,-2,up,0.89,10.0,0.9999785147641739,0.103147015
2026-02-13,1770960900,-2,up,0.85,11.764706,0.9984211327669952,0.14107499
2026-02-13,1770961200,-6,up,0.85,11.764706,1.0,0.14107499
2026-02-13,1770961500,-6,down,0.33999997,0.29,0.985505837684619,-0.35570797
2026-02-13,1770962700,-2,up,0.39,25.641027,0.999999645133034,0.593347
2026-02-13,1770963000,-6,down,0.31,32.258064,0.9968082582373808,0.675027
2026-02-13,1770964200,-3,down,0.85,5.0,0.9987400192316417,0.14107499
2026-02-13,1770964500,-6,up,0.7,14.285714,0.99999853352744,-0.7147
2026-02-13,1770965100,-6,up,0.9,11.111112,0.9999999999999997,-0.90629995
2026-02-13,1770967200,-5,down,0.56,17.857143,0.9671171068521006,-0.577248
2026-02-13,1770967500,-6,down,0.89,11.235955,1.0,-0.89685297
2026-02-13,1770968700,-6,down,0.45999998,21.739132,0.9997643502723292,-0.47738796
2026-02-13,1770969900,-6,up,0.4,25.0,0.9999405405644682,-0.41680002
2026-02-13,1770970800,-6,up,0.4,25.0,0.9841349931623229,-0.41680002
2026-02-13,1770971700,-3,down,0.94,10.638298,0.9999990493740083,0.056052003
2026-02-13,1770972600,-2,up,0.91,10.989011,0.9982343137959208,0.084266976
