date,wts,t_rel,side,px,shares,fair,pnl_share
2026-04-02,1775091300,-6,down,0.94,10.638298,0.9999616662983439,0.056052003
2026-04-02,1775093700,-3,down,0.83,12.048193,0.9984999205553469,0.16012302
2026-04-02,1775095500,-6,down,0.69,9.17,0.8560724928807031,0.295027
2026-04-02,1775098500,-6,up,0.53,18.867926,0.7896050530190446,-0.54743695
2026-04-02,1775098800,-6,down,0.37,24.04,0.5202094009014842,0.613683
2026-04-02,1775104800,-6,down,0.39999998,25.000002,0.8058224079152584,-0.41679996
2026-04-02,1775105700,-6,up,0.9,11.111112,0.9999162176295288,0.09370002
2026-04-02,1775106600,-6,up,0.5,20.0,0.9999999999998206,0.4825
2026-04-02,1775107500,-6,down,0.57,17.54386,0.9999999999999818,0.41284302
2026-04-02,1775107800,-5,down,0.37,27.027027,0.5725134791638373,0.613683
2026-04-02,1775109600,-6,down,0.33999997,29.411766,0.9125396840066935,-0.35570797
2026-04-02,1775113200,-6,up,0.61,16.393442,0.9117940261524657,0.37334698
2026-04-02,1775114400,-6,up,0.51,10.0,0.9342324405545329,0.472507
2026-04-02,1775117400,-6,down,0.32999998,19.3,0.9853076067433012,-0.34547698
2026-04-02,1775122500,-5,up,0.92,10.869565,0.9976588678799284,0.07484798
2026-04-02,1775127000,-6,down,0.79,12.658228,0.931283757247598,0.19838698
2026-04-02,1775127300,-6,down,0.55,18.181818,0.9915970613173771,-0.567325
2026-04-02,1775128800,-4,up,0.36,6.57,0.6512522292070329,0.623872
2026-04-02,1775141700,-6,down,0.31,32.258064,0.4339530361165955,0.675027
2026-04-02,1775144400,-5,up,0.87,11.494253,0.9863557251523706,0.12208299
2026-04-02,1775145600,-6,down,0.86,11.627907,0.9430482400074771,0.131572
2026-04-02,1775146200,-6,up,0.36,27.777777,0.6161983958024667,-0.37612802
2026-04-02,1775148300,-4,up,0.42,23.809525,0.7428319908168737,0.56294805
2026-04-02,1775152200,-6,up,0.42,23.809525,0.6479966329300951,0.56294805
2026-04-02,1775158800,-5,up,0.81,12.345679,0.8866107844798881,0.179227
2026-04-02,1775159700,-6,down,0.9,11.111112,0.9999773757942402,0.09370002
2026-04-02,1775171100,-4,down,0.68,3.26,0.9999999905555575,0.304768
2026-04-02,1775173200,-6,down,0.66999996,14.925374,0.9007144268976695,0.31452304
2026-04-02,1775173500,-6,down,0.88,8.86,0.9810542968070637,0.112608
2026-04-02,1775174100,-6,up,0.32,5.0,0.999999999999999,0.664768
2026-04-03,1775175000,-6,down,0.66999996,8.5,1.0,-0.68547696
2026-04-03,1775176500,-6,up,0.87,11.494253,1.0,0.12208299
2026-04-03,1775177400,-6,down,0.94,10.638298,0.9987705658930335,0.056052003
2026-04-03,1775178000,-5,down,0.68,14.705882,0.7971869102747051,0.304768
2026-04-03,1775181000,-6,down,0.39,25.641027,0.999998099103469,0.593347
2026-04-03,1775183400,-6,up,0.91,10.989011,0.9873805772318015,0.084266976
2026-04-03,1775186100,-2,up,0.66,10.0,0.9573238259311507,0.32429197
2026-04-03,1775186400,-6,up,0.88,11.363636,1.0,0.112608
2026-04-03,1775187600,-6,down,0.6,16.666666,1.0,0.3832
2026-04-03,1775188500,-6,up,0.67,6.77,0.9289433259691726,0.31452298
