date,wts,t_rel,side,px,shares,pnl_share
2025-10-11,1760223600,2,down,0.9099999964237213,470.0,0.08426700337100029
2025-10-15,1760493600,2,up,0.9490000009536743,10.0,0.04761206910627365
2025-10-22,1761148800,2,down,0.32999998331069946,500.0,0.654523017086506
2025-11-09,1762729200,2,down,0.9600000008940697,144.85000610351562,0.037311999163508414
2025-11-24,1763992800,127,up,0.36000001430511475,500.0,0.6238719854145051
2025-11-26,1764169200,2,up,0.6800000071525574,8.0,0.3047679930276871
2025-11-26,1764180000,2,up,0.5099999904632568,500.0,0.47250700952339175
2025-11-26,1764183600,2,down,0.5,190.0399932861328,0.4825
2025-11-26,1764187200,2,down,0.5,181.0399932861328,0.4825
2025-11-26,1764190800,2,up,0.5099999904632568,500.0,0.47250700952339175
2025-11-26,1764194400,2,up,0.5099999904632568,500.0,0.47250700952339175
2025-11-26,1764198000,2,up,0.5099999904632568,500.0,0.47250700952339175
2025-11-30,1764543600,2,down,0.9499999992549419,75.88999938964844,0.046675000698119404
2025-12-03,1764799200,2,up,0.8199999928474426,141.0,0.1696680068321228
2025-12-05,1764921600,2,down,0.9700000006705523,500.0,0.027962999373570083
2025-12-05,1764975600,2,up,0.699999988079071,16.65999984741211,0.28530001158714297
2025-12-10,1765400400,2,down,0.5200000107288361,15.0,0.4625279893012047
2025-12-11,1765490400,2,down,0.9600000008940697,500.0,0.037311999163508414
2025-12-12,1765580400,2,down,0.5600000023841858,105.83999633789062,0.42275199763584137
2025-12-13,1765659600,2,up,0.4300000071525574,163.99000549316406,0.5528429927773476
2025-12-13,1765666800,2,up,0.800000011920929,80.0,0.18879998857975006
2025-12-18,1766098800,2,down,0.6399999856948853,170.17999267578125,0.3438720140247345
2025-12-19,1766185200,2,down,0.8299999982118607,67.0999984741211,0.16012300170552732
2025-12-24,1766617200,2,down,0.9700000006705523,235.89999389648438,0.027962999373570083
2025-12-25,1766696400,2,up,0.5,26.0,0.4825
2025-12-29,1767038400,2,down,0.8499999940395355,316.8699951171875,0.14107500566840173
2025-12-29,1767042000,2,up,0.9599999785423279,20.0,0.037312020075798064
2025-12-29,1767045600,2,up,0.36000001430511475,22.100000381469727,0.6238719854145051
2025-12-29,1767049200,2,down,0.5,20.0,0.4825
2025-12-30,1767132000,2,up,0.5099999904632568,6.0,0.47250700952339175
2025-12-31,1767200400,2,down,0.48000001907348633,33.0,0.5025279808731079
2025-12-31,1767204000,2,up,0.5099999904632568,500.0,0.47250700952339175
2025-12-31,1767211200,2,up,0.5099999904632568,500.0,0.47250700952339175
2025-12-31,1767218400,2,down,0.20999997854232788,286.3999938964844,0.7783870223288536
2025-12-31,1767222000,2,down,0.8199999928474426,234.60000610351562,0.1696680068321228
2026-01-01,1767290400,2,down,0.5399999916553497,494.4599914550781,0.44261200829792025
2026-01-01,1767304800,2,up,0.949999988079071,260.0,0.04667501116991044
2026-01-01,1767308400,2,up,0.5099999904632568,500.0,0.47250700952339175
2026-01-02,1767373200,2,down,0.38999998569488525,30.0,0.5933470145254135
2026-01-02,1767380400,2,up,0.9399999976158142,230.0,0.056052002237319945
2026-01-02,1767387600,2,up,0.9399999976158142,75.0,0.056052002237319945
2026-01-02,1767391200,2,up,0.5,109.95999908447266,0.4825
2026-01-03,1767474000,2,up,0.5099999904632568,156.38999938964844,0.47250700952339175
2026-01-03,1767481200,2,up,0.5,212.97999572753906,0.4825
