date,wts,t_rel,side,px,shares,pnl_share
2025-10-16,1760594400,5,down,0.10000002384185791,150.0,0.8936999748229981
2025-10-16,1760594400,13,down,0.10000002384185791,148.33999633789062,0.8936999748229981
2025-10-16,1760594400,14,down,0.10000002384185791,146.75999450683594,0.8936999748229981
2025-10-16,1760594400,17,down,0.10000002384185791,54.90000915527344,0.8936999748229981
2025-10-20,1760956200,2,down,0.5,60.0,0.4825
2025-10-22,1761148800,2,up,0.8700000047683716,258.0,0.12208299547863007
2025-10-22,1761152400,2,down,0.9600000008940697,24.8700008392334,0.037311999163508414
2025-10-22,1761152400,3,down,0.9600000008940697,24.8700008392334,0.037311999163508414
2025-10-27,1761601500,2,up,0.9100000262260437,16.0,0.08426697527933126
2025-10-29,1761730200,16,down,0.04000002145767212,15.5600004196167,-0.042688022839546175
2025-11-03,1762200900,2,up,0.949999988079071,500.0,0.04667501116991044
2025-11-04,1762282800,2,up,0.9599999785423279,145.91000366210938,0.037312020075798064
2025-11-04,1762282800,3,up,0.9599999785423279,145.91000366210938,0.037312020075798064
2025-11-09,1762684200,2,up,0.7200000286102295,20.0,0.2658879722709656
2025-11-16,1763253900,2,down,0.7400000095367432,8.350000381469727,0.24653199078369142
2025-11-16,1763253900,11,down,0.7400000095367432,8.350000381469727,0.24653199078369142
2025-11-19,1763524800,2,down,0.5900000035762787,10.0,0.3930669964687824
2025-11-19,1763584200,2,down,0.5099999904632568,500.0,0.47250700952339175
2025-11-20,1763612100,2,down,0.8900000005960464,61.970001220703125,0.10314699943649769
2025-11-20,1763634600,2,down,0.880000002682209,30.0,0.1126079974604845
2025-11-21,1763698500,2,up,0.5099999904632568,500.0,0.47250700952339175
2025-11-21,1763711100,2,down,0.7699999958276749,20.0,0.21760300401461125
2025-11-21,1763734500,2,down,0.5900000035762787,500.0,0.3930669964687824
2025-11-21,1763745300,2,up,0.47999998927116394,75.0,0.5025280107588768
2025-11-22,1763812800,2,down,0.550000011920929,111.0,0.43267498816251754
2025-11-24,1764026100,2,up,0.4099999964237213,500.0,0.5730670036213398
2025-11-25,1764055800,3,up,0.029999999329447746,500.0,-0.032036999285325406
2025-11-26,1764145800,2,down,0.3999999761581421,90.0,0.583200024175644
2025-11-26,1764171900,2,up,0.27000001072883606,85.0,0.7162029889256954
